codigo_ibge,grupo_dcnt,obitos,internacoes,obitos_hospitalares,municipio,populacao_censo2022,taxa_urbanizacao_pct,pib_per_capita,taxa_mortalidade_100k,taxa_internacao_100k,taxa_letalidade_pct
4200051,Cardiovascular,12.0,0.0,0.0,Abdon Batista,2598.0,45.15011547344111,42463.04849884527,461.8937644341801,0.0,
4200051,Câncer,2.0,0.0,0.0,Abdon Batista,2598.0,45.15011547344111,42463.04849884527,76.98229407236335,0.0,
4200051,Diabetes,1.0,0.0,0.0,Abdon Batista,2598.0,45.15011547344111,42463.04849884527,38.49114703618167,0.0,
4200101,Cardiovascular,85.0,266.0,7.0,Abelardo Luz,17392.0,65.44388224471021,58561.7525298988,488.7304507819688,1529.438822447102,2.631578947368421
4200101,Câncer,92.0,55.0,13.0,Abelardo Luz,17392.0,65.44388224471021,58561.7525298988,528.9788408463661,316.2373505059798,23.636363636363637
4200101,Diabetes,34.0,81.0,4.0,Abelardo Luz,17392.0,65.44388224471021,58561.7525298988,195.4921803127875,465.7313707451702,4.938271604938271
4200101,Respiratória crônica,31.0,331.0,11.0,Abelardo Luz,17392.0,65.44388224471021,58561.7525298988,178.24287028518862,1903.1738730450782,3.3232628398791544
4200200,Cardiovascular,66.0,47.0,4.0,Agrolândia,10990.0,75.19563239308462,40951.04640582348,600.5459508644221,427.66151046405827,8.51063829787234
4200200,Câncer,45.0,5.0,2.0,Agrolândia,10990.0,75.19563239308462,40951.04640582348,409.4631483166515,45.49590536851684,40.0
4200200,Diabetes,21.0,6.0,0.0,Agrolândia,10990.0,75.19563239308462,40951.04640582348,191.0828025477707,54.5950864422202,0.0
4200200,Respiratória crônica,13.0,1.0,0.0,Agrolândia,10990.0,75.19563239308462,40951.04640582348,118.28935395814376,9.099181073703367,0.0
4200309,Cardiovascular,15.0,0.0,0.0,Agronômica,6055.0,59.30635838150289,38772.74979355904,247.7291494632535,0.0,
4200309,Câncer,8.0,0.0,0.0,Agronômica,6055.0,59.30635838150289,38772.74979355904,132.12221304706853,0.0,
