codigo_ibge,grupo_dcnt,internacoes,obitos_hospitalares
4200101,Cardiovascular,266.0,7.0
4200200,Cardiovascular,47.0,4.0
4200408,Cardiovascular,136.0,6.0
4200705,Cardiovascular,89.0,3.0
4200903,Cardiovascular,487.0,31.0
4201000,Cardiovascular,248.0,21.0
4201109,Cardiovascular,226.0,2.0
4201273,Cardiovascular,93.0,3.0
4201406,Cardiovascular,2456.0,225.0
4201505,Cardiovascular,374.0,16.0
4201604,Cardiovascular,106.0,1.0
4202008,Cardiovascular,3068.0,413.0
4202305,Cardiovascular,973.0,32.0
4202404,Cardiovascular,17978.0,1144.0
4202602,Cardiovascular,328.0,6.0
4202800,Cardiovascular,571.0,43.0
4202909,Cardiovascular,4262.0,357.0
4203006,Cardiovascular,3012.0,302.0
4203105,Cardiovascular,52.0,13.0
4203204,Cardiovascular,349.0,0.0
4203303,Cardiovascular,225.0,9.0
4203402,Cardiovascular,187.0,5.0
4203501,Cardiovascular,311.0,21.0
4203600,Cardiovascular,955.0,75.0
4203709,Cardiovascular,38.0,2.0
4203808,Cardiovascular,1199.0,126.0
4203907,Cardiovascular,347.0,23.0
4204103,Cardiovascular,91.0,1.0
4204202,Cardiovascular,4883.0,635.0
4204301,Cardiovascular,2976.0,263.0
4204400,Cardiovascular,96.0,14.0
4204558,Cardiovascular,125.0,1.0
4204608,Cardiovascular,12960.0,1359.0
4204707,Cardiovascular,137.0,8.0
4204806,Cardiovascular,2373.0,225.0
4204905,Cardiovascular,269.0,17.0
4205001,Cardiovascular,399.0,35.0
4205308,Cardiovascular,282.0,7.0
4205407,Cardiovascular,14774.0,1241.0
4205506,Cardiovascular,599.0,22.0
4205902,Cardiovascular,1596.0,100.0
4206405,Cardiovascular,473.0,30.0
4206504,Cardiovascular,220.0,15.0
4206603,Cardiovascular,225.0,5.0
4206900,Cardiovascular,1169.0,112.0
4207007,Cardiovascular,1255.0,145.0
4207205,Cardiovascular,449.0,2.0
4207304,Cardiovascular,1356.0,120.0
4207502,Cardiovascular,875.0,96.0
4207601,Cardiovascular,42.0,4.0
4207650,Cardiovascular,266.0,18.0
4207700,Cardiovascular,60.0,2.0
4207809,Cardiovascular,112.0,2.0
4207908,Cardiovascular,645.0,19.0
4208005,Cardiovascular,343.0,6.0
4208104,Cardiovascular,145.0,10.0
4208203,Cardiovascular,15500.0,1419.0
4208302,Cardiovascular,473.0,11.0
4208401,Cardiovascular,240.0,22.0
4208500,Cardiovascular,1023.0,109.0
4208708,Cardiovascular,296.0,20.0
4208807,Cardiovascular,432.0,31.0
4208906,Cardiovascular,4310.0,459.0
4209003,Cardiovascular,2678.0,222.0
4209102,Cardiovascular,27720.0,2073.0
4209300,Cardiovascular,10609.0,980.0
4209409,Cardiovascular,902.0,73.0
4209607,Cardiovascular,116.0,12.0
4209706,Cardiovascular,80.0,1.0
4209854,Cardiovascular,172.0,29.0
4210001,Cardiovascular,74.0,2.0
4210035,Cardiovascular,727.0,75.0
4210100,Cardiovascular,8498.0,575.0
4210308,Cardiovascular,556.0,26.0
4210506,Cardiovascular,1360.0,150.0
4210605,Cardiovascular,229.0,9.0
4210803,Cardiovascular,691.0,25.0
4210902,Cardiovascular,256.0,19.0
4211009,Cardiovascular,105.0,13.0
4211108,Cardiovascular,51.0,1.0
4211207,Cardiovascular,2133.0,87.0
4211306,Cardiovascular,180.0,18.0
4211405,Cardiovascular,298.0,3.0
4211504,Cardiovascular,145.0,19.0
4211603,Cardiovascular,240.0,7.0
4211702,Cardiovascular,650.0,73.0
4211751,Cardiovascular,541.0,19.0
4212007,Cardiovascular,427.0,14.0
4212106,Cardiovascular,335.0,14.0
4212205,Cardiovascular,354.0,24.0
4212502,Cardiovascular,204.0,0.0
4212601,Cardiovascular,358.0,2.0
4212700,Cardiovascular,18.0,0.0
4212908,Cardiovascular,591.0,10.0
4213203,Cardiovascular,1292.0,62.0
4213302,Cardiovascular,2.0,0.0
4213401,Cardiovascular,589.0,10.0
4213609,Cardiovascular,1178.0,135.0
4213708,Cardiovascular,240.0,23.0
4213807,Cardiovascular,1609.0,24.0
4214003,Cardiovascular,309.0,23.0
4214201,Cardiovascular,448.0,21.0
4214508,Cardiovascular,191.0,22.0
4214706,Cardiovascular,308.0,15.0
4214805,Cardiovascular,6564.0,415.0
4214904,Cardiovascular,301.0,17.0
4215000,Cardiovascular,767.0,133.0
4215307,Cardiovascular,80.0,8.0
4215406,Cardiovascular,100.0,3.0
