codigo_ibge,ano,grupo_dcnt,obitos
4200051,2019,Cardiovascular,4.0
4200101,2019,Cardiovascular,10.0
4200200,2019,Cardiovascular,13.0
4200309,2019,Cardiovascular,2.0
4200408,2019,Cardiovascular,6.0
4200507,2019,Cardiovascular,2.0
4200556,2019,Cardiovascular,3.0
4200606,2019,Cardiovascular,7.0
4200705,2019,Cardiovascular,17.0
4200754,2019,Cardiovascular,4.0
4200804,2019,Cardiovascular,9.0
4200903,2019,Cardiovascular,15.0
4201000,2019,Cardiovascular,17.0
4201109,2019,Cardiovascular,4.0
4201208,2019,Cardiovascular,8.0
4201257,2019,Cardiovascular,5.0
4201273,2019,Cardiovascular,4.0
4201307,2019,Cardiovascular,25.0
4201406,2019,Cardiovascular,158.0
4201505,2019,Cardiovascular,14.0
4201604,2019,Cardiovascular,2.0
4201653,2019,Cardiovascular,0.0
4201703,2019,Cardiovascular,3.0
4201802,2019,Cardiovascular,0.0
4201901,2019,Cardiovascular,2.0
4201950,2019,Cardiovascular,28.0
4202008,2019,Cardiovascular,270.0
4202057,2019,Cardiovascular,14.0
4202073,2019,Cardiovascular,9.0
4202081,2019,Cardiovascular,4.0
4202099,2019,Cardiovascular,1.0
4202107,2019,Cardiovascular,24.0
4202131,2019,Cardiovascular,5.0
4202156,2019,Cardiovascular,1.0
4202206,2019,Cardiovascular,11.0
4202305,2019,Cardiovascular,78.0
4202404,2019,Cardiovascular,577.0
4202438,2019,Cardiovascular,5.0
4202453,2019,Cardiovascular,4.0
4202503,2019,Cardiovascular,2.0
4202537,2019,Cardiovascular,0.0
4202578,2019,Cardiovascular,2.0
4202602,2019,Cardiovascular,11.0
4202701,2019,Cardiovascular,4.0
4202800,2019,Cardiovascular,47.0
4202859,2019,Cardiovascular,3.0
4202875,2019,Cardiovascular,3.0
4202909,2019,Cardiovascular,184.0
4203006,2019,Cardiovascular,138.0
4203105,2019,Cardiovascular,4.0
4203154,2019,Cardiovascular,0.0
4203204,2019,Cardiovascular,21.0
4203253,2019,Cardiovascular,1.0
4203303,2019,Cardiovascular,20.0
4203402,2019,Cardiovascular,10.0
4203501,2019,Cardiovascular,22.0
4203600,2019,Cardiovascular,46.0
4203709,2019,Cardiovascular,12.0
4203808,2019,Cardiovascular,86.0
4203907,2019,Cardiovascular,28.0
4203956,2019,Cardiovascular,7.0
4204004,2019,Cardiovascular,4.0
4204103,2019,Cardiovascular,5.0
4204152,2019,Cardiovascular,0.0
4204178,2019,Cardiovascular,0.0
4204194,2019,Cardiovascular,2.0
4204202,2019,Cardiovascular,309.0
4204251,2019,Cardiovascular,10.0
4204301,2019,Cardiovascular,102.0
4204350,2019,Cardiovascular,2.0
4204400,2019,Cardiovascular,20.0
4204459,2019,Cardiovascular,5.0
4204509,2019,Cardiovascular,13.0
4204558,2019,Cardiovascular,20.0
4204608,2019,Cardiovascular,648.0
4204707,2019,Cardiovascular,20.0
4204756,2019,Cardiovascular,0.0
4204806,2019,Cardiovascular,124.0
4204905,2019,Cardiovascular,9.0
4205001,2019,Cardiovascular,34.0
4205100,2019,Cardiovascular,3.0
4205159,2019,Cardiovascular,5.0
4205175,2019,Cardiovascular,1.0
4205191,2019,Cardiovascular,2.0
4205209,2019,Cardiovascular,5.0
4205308,2019,Cardiovascular,13.0
4205357,2019,Cardiovascular,0.0
4205407,2019,Cardiovascular,877.0
4205431,2019,Cardiovascular,1.0
4205456,2019,Cardiovascular,16.0
4205506,2019,Cardiovascular,34.0
4205555,2019,Cardiovascular,3.0
4205605,2019,Cardiovascular,0.0
4205704,2019,Cardiovascular,20.0
4205803,2019,Cardiovascular,20.0
4205902,2019,Cardiovascular,51.0
4206009,2019,Cardiovascular,12.0
4206108,2019,Cardiovascular,3.0
4206207,2019,Cardiovascular,11.0
4206306,2019,Cardiovascular,15.0
4206405,2019,Cardiovascular,16.0
4206504,2019,Cardiovascular,39.0
4206603,2019,Cardiovascular,7.0
4206652,2019,Cardiovascular,2.0
4206702,2019,Cardiovascular,9.0
4206751,2019,Cardiovascular,1.0
4206801,2019,Cardiovascular,5.0
4206900,2019,Cardiovascular,59.0
4207007,2019,Cardiovascular,88.0
4207106,2019,Cardiovascular,7.0
4207205,2019,Cardiovascular,13.0
4207304,2019,Cardiovascular,104.0
4207403,2019,Cardiovascular,5.0
4207502,2019,Cardiovascular,81.0
4207577,2019,Cardiovascular,2.0
4207601,2019,Cardiovascular,13.0
4207650,2019,Cardiovascular,6.0
4207684,2019,Cardiovascular,2.0
4207700,2019,Cardiovascular,9.0
4207759,2019,Cardiovascular,2.0
4207809,2019,Cardiovascular,11.0
4207858,2019,Cardiovascular,2.0
4207908,2019,Cardiovascular,12.0
4208005,2019,Cardiovascular,12.0
4208104,2019,Cardiovascular,25.0
4208203,2019,Cardiovascular,418.0
4208302,2019,Cardiovascular,38.0
4208401,2019,Cardiovascular,19.0
4208450,2019,Cardiovascular,24.0
4208500,2019,Cardiovascular,51.0
4208609,2019,Cardiovascular,3.0
4208708,2019,Cardiovascular,18.0
4208807,2019,Cardiovascular,51.0
4208906,2019,Cardiovascular,226.0
4208955,2019,Cardiovascular,1.0
4209003,2019,Cardiovascular,102.0
4209102,2019,Cardiovascular,1059.0
4209151,2019,Cardiovascular,2.0
4209177,2019,Cardiovascular,0.0
4209201,2019,Cardiovascular,1.0
4209300,2019,Cardiovascular,442.0
4209409,2019,Cardiovascular,74.0
4209458,2019,Cardiovascular,1.0
4209508,2019,Cardiovascular,1.0
4209607,2019,Cardiovascular,19.0
4209706,2019,Cardiovascular,15.0
4209805,2019,Cardiovascular,5.0
4209854,2019,Cardiovascular,14.0
4209904,2019,Cardiovascular,6.0
4210001,2019,Cardiovascular,7.0
4210035,2019,Cardiovascular,17.0
4210050,2019,Cardiovascular,1.0
4210100,2019,Cardiovascular,167.0
4210209,2019,Cardiovascular,1.0
4210308,2019,Cardiovascular,9.0
4210407,2019,Cardiovascular,4.0
4210506,2019,Cardiovascular,72.0
4210555,2019,Cardiovascular,0.0
4210605,2019,Cardiovascular,11.0
4210704,2019,Cardiovascular,4.0
4210803,2019,Cardiovascular,18.0
4210852,2019,Cardiovascular,3.0
4210902,2019,Cardiovascular,9.0
4211009,2019,Cardiovascular,16.0
4211058,2019,Cardiovascular,3.0
4211108,2019,Cardiovascular,12.0
4211207,2019,Cardiovascular,25.0
4211256,2019,Cardiovascular,2.0
4211306,2019,Cardiovascular,72.0
4211405,2019,Cardiovascular,7.0
4211454,2019,Cardiovascular,0.0
4211504,2019,Cardiovascular,24.0
4211603,2019,Cardiovascular,22.0
4211652,2019,Cardiovascular,1.0
4211702,2019,Cardiovascular,46.0
4211751,2019,Cardiovascular,18.0
4211801,2019,Cardiovascular,3.0
4211850,2019,Cardiovascular,0.0
4211876,2019,Cardiovascular,2.0
4211892,2019,Cardiovascular,0.0
4211900,2019,Cardiovascular,148.0
4212007,2019,Cardiovascular,11.0
4212056,2019,Cardiovascular,0.0
4212106,2019,Cardiovascular,23.0
4212205,2019,Cardiovascular,16.0
4212239,2019,Cardiovascular,2.0
4212254,2019,Cardiovascular,4.0
4212270,2019,Cardiovascular,1.0
4212304,2019,Cardiovascular,5.0
4212403,2019,Cardiovascular,2.0
4212502,2019,Cardiovascular,25.0
4212601,2019,Cardiovascular,3.0
4212650,2019,Cardiovascular,4.0
4212700,2019,Cardiovascular,10.0
4212809,2019,Cardiovascular,15.0
4212908,2019,Cardiovascular,29.0
4213005,2019,Cardiovascular,1.0
4213104,2019,Cardiovascular,2.0
4213153,2019,Cardiovascular,1.0
4213203,2019,Cardiovascular,63.0
4213302,2019,Cardiovascular,2.0
4213351,2019,Cardiovascular,3.0
4213401,2019,Cardiovascular,14.0
4213500,2019,Cardiovascular,9.0
4213609,2019,Cardiovascular,68.0
4213708,2019,Cardiovascular,24.0
4213807,2019,Cardiovascular,28.0
4213906,2019,Cardiovascular,0.0
4214003,2019,Cardiovascular,45.0
4214102,2019,Cardiovascular,2.0
4214151,2019,Cardiovascular,0.0
4214201,2019,Cardiovascular,17.0
4214300,2019,Cardiovascular,1.0
4214409,2019,Cardiovascular,1.0
4214508,2019,Cardiovascular,26.0
4214607,2019,Cardiovascular,19.0
4214706,2019,Cardiovascular,19.0
4214805,2019,Cardiovascular,189.0
4214904,2019,Cardiovascular,6.0
4215000,2019,Cardiovascular,84.0
4215059,2019,Cardiovascular,1.0
4215075,2019,Cardiovascular,4.0
4215109,2019,Cardiovascular,8.0
4215208,2019,Cardiovascular,3.0
4215307,2019,Cardiovascular,11.0
4215356,2019,Cardiovascular,3.0
4215406,2019,Cardiovascular,0.0
4215455,2019,Cardiovascular,4.0
4215505,2019,Cardiovascular,20.0
4215554,2019,Cardiovascular,0.0
4215604,2019,Cardiovascular,0.0
4215653,2019,Cardiovascular,9.0
4215679,2019,Cardiovascular,1.0
4215687,2019,Cardiovascular,4.0
4215695,2019,Cardiovascular,0.0
4215703,2019,Cardiovascular,44.0
4215752,2019,Cardiovascular,0.0
4215802,2019,Cardiovascular,84.0
4215901,2019,Cardiovascular,6.0
4216008,2019,Cardiovascular,23.0
4216057,2019,Cardiovascular,0.0
4216107,2019,Cardiovascular,8.0
4216206,2019,Cardiovascular,67.0
4216255,2019,Cardiovascular,10.0
4216305,2019,Cardiovascular,37.0
4216354,2019,Cardiovascular,1.0
4216404,2019,Cardiovascular,0.0
4216503,2019,Cardiovascular,39.0
4216602,2019,Cardiovascular,601.0
4216701,2019,Cardiovascular,22.0
4216800,2019,Cardiovascular,11.0
4216909,2019,Cardiovascular,2.0
4217006,2019,Cardiovascular,2.0
4217105,2019,Cardiovascular,8.0
4217154,2019,Cardiovascular,1.0
4217204,2019,Cardiovascular,116.0
4217253,2019,Cardiovascular,11.0
4217303,2019,Cardiovascular,15.0
4217402,2019,Cardiovascular,7.0
4217501,2019,Cardiovascular,14.0
4217550,2019,Cardiovascular,0.0
4217600,2019,Cardiovascular,20.0
4217709,2019,Cardiovascular,46.0
4217758,2019,Cardiovascular,2.0
4217808,2019,Cardiovascular,24.0
4217907,2019,Cardiovascular,4.0
4217956,2019,Cardiovascular,3.0
4218004,2019,Cardiovascular,48.0
4218103,2019,Cardiovascular,6.0
4218202,2019,Cardiovascular,96.0
4218251,2019,Cardiovascular,11.0
4218301,2019,Cardiovascular,20.0
4218350,2019,Cardiovascular,3.0
4218400,2019,Cardiovascular,6.0
4218509,2019,Cardiovascular,6.0
4218608,2019,Cardiovascular,20.0
4218707,2019,Cardiovascular,430.0
4218756,2019,Cardiovascular,10.0
4218806,2019,Cardiovascular,18.0
4218855,2019,Cardiovascular,3.0
4218905,2019,Cardiovascular,16.0
4218954,2019,Cardiovascular,3.0
4219002,2019,Cardiovascular,42.0
4219101,2019,Cardiovascular,5.0
4219150,2019,Cardiovascular,2.0
4219176,2019,Cardiovascular,0.0
4219200,2019,Cardiovascular,9.0
4219309,2019,Cardiovascular,118.0
4219358,2019,Cardiovascular,3.0
4219408,2019,Cardiovascular,2.0
4219507,2019,Cardiovascular,193.0
4219606,2019,Cardiovascular,6.0
4219705,2019,Cardiovascular,29.0
4219853,2019,Cardiovascular,2.0
4220000,2019,Cardiovascular,17.0
4200051,2020,Cardiovascular,2.0
4200101,2020,Cardiovascular,11.0
4200200,2020,Cardiovascular,14.0
4200309,2020,Cardiovascular,5.0
4200408,2020,Cardiovascular,8.0
4200507,2020,Cardiovascular,3.0
4200556,2020,Cardiovascular,2.0
4200606,2020,Cardiovascular,9.0
4200705,2020,Cardiovascular,11.0
4200754,2020,Cardiovascular,3.0
4200804,2020,Cardiovascular,2.0
4200903,2020,Cardiovascular,17.0
4201000,2020,Cardiovascular,28.0
4201109,2020,Cardiovascular,12.0
4201208,2020,Cardiovascular,11.0
4201257,2020,Cardiovascular,6.0
4201273,2020,Cardiovascular,6.0
