fecam;municipio;id_municipio_antigo;municipio_caixa_alta;municipio_caixa_baixa;municipio_slug;fecam_caixa_alta;fecam_caixa_baixa;fecam_slug;id;id_municipio_ibge;municipio_sem_acento
AMVE;Apiúna;420125;APIÚNA;apiúna;apiuna;AMVE;amve;amve;0;4201257;Apiuna
AMVE;Ascurra;420170;ASCURRA;ascurra;ascurra;AMVE;amve;amve;1;4201703;Ascurra
AMVE;Benedito Novo;420220;BENEDITO NOVO;benedito novo;benedito_novo;AMVE;amve;amve;2;4202206;Benedito Novo
AMVE;Blumenau;420240;BLUMENAU;blumenau;blumenau;AMVE;amve;amve;3;4202404;Blumenau
AMVE;Botuverá;420270;BOTUVERÁ;botuverá;botuvera;AMVE;amve;amve;4;4202701;Botuvera
AMVE;Brusque;420290;BRUSQUE;brusque;brusque;AMVE;amve;amve;5;4202909;Brusque
AMVE;Doutor Pedrinho;420515;DOUTOR PEDRINHO;doutor pedrinho;doutor_pedrinho;AMVE;amve;amve;6;4205159;Doutor Pedrinho
AMVE;Gaspar;420590;GASPAR;gaspar;gaspar;AMVE;amve;amve;7;4205902;Gaspar
AMVE;Guabiruba;420630;GUABIRUBA;guabiruba;guabiruba;AMVE;amve;amve;8;4206306;Guabiruba
AMVE;Indaial;420750;INDAIAL;indaial;indaial;AMVE;amve;amve;9;4207502;Indaial
AMVE;Pomerode;421320;POMERODE;pomerode;pomerode;AMVE;amve;amve;10;4213203;Pomerode
AMVE;Rio dos Cedros;421470;RIO DOS CEDROS;rio dos cedros;rio_dos_cedros;AMVE;amve;amve;11;4214706;Rio dos Cedros
AMVE;Rodeio;421510;RODEIO;rodeio;rodeio;AMVE;amve;amve;12;4215109;Rodeio
AMVE;Timbó;421820;TIMBÓ;timbó;timbo;AMVE;amve;amve;13;4218202;Timbo
Amunesc;Araquari;420130;ARAQUARI;araquari;araquari;AMUNESC;amunesc;amunesc;14;4201307;Araquari
Amunesc;Balneário Barra do Sul;420205;BALNEÁRIO BARRA DO SUL;balneário barra do sul;balneario_barra_do_sul;AMUNESC;amunesc;amunesc;15;4202057;Balneario Barra do Sul
Amunesc;Campo Alegre;420330;CAMPO ALEGRE;campo alegre;campo_alegre;AMUNESC;amunesc;amunesc;16;4203303;Campo Alegre
Amunesc;Garuva;420580;GARUVA;garuva;garuva;AMUNESC;amunesc;amunesc;17;4205803;Garuva
Amunesc;Itapoá;420845;ITAPOÁ;itapoá;itapoa;AMUNESC;amunesc;amunesc;18;4208450;Itapoa
Amunesc;Joinville;420910;JOINVILLE;joinville;joinville;AMUNESC;amunesc;amunesc;19;4209102;Joinville
Amunesc;Rio Negrinho;421500;RIO NEGRINHO;rio negrinho;rio_negrinho;AMUNESC;amunesc;amunesc;20;4215000;Rio Negrinho
Amunesc;São Bento do Sul;421580;SÃO BENTO DO SUL;são bento do sul;sao_bento_do_sul;AMUNESC;amunesc;amunesc;21;4215802;Sao Bento do Sul
Amunesc;São Francisco do Sul;421620;SÃO FRANCISCO DO SUL;são francisco do sul;sao_francisco_do_sul;AMUNESC;amunesc;amunesc;22;4216206;Sao Francisco do Sul
AMVALI;Barra Velha;420210;BARRA VELHA;barra velha;barra_velha;AMVALI;amvali;amvali;23;4202107;Barra Velha
AMVALI;Corupá;420450;CORUPÁ;corupá;corupa;AMVALI;amvali;amvali;24;4204509;Corupa
AMVALI;Guaramirim;420650;GUARAMIRIM;guaramirim;guaramirim;AMVALI;amvali;amvali;25;4206504;Guaramirim
AMVALI;Jaraguá do Sul;420890;JARAGUÁ DO SUL;jaraguá do sul;jaragua_do_sul;AMVALI;amvali;amvali;26;4208906;Jaragua do Sul
AMVALI;Massaranduba;421060;MASSARANDUBA;massaranduba;massaranduba;AMVALI;amvali;amvali;27;4210605;Massaranduba
AMVALI;São João do Itaperiú;421635;SÃO JOÃO DO ITAPERIÚ;são joão do itaperiú;sao_joao_do_itaperiu;AMVALI;amvali;amvali;28;4216354;Sao Joao do Itaperiu
AMVALI;Schroeder;421740;SCHROEDER;schroeder;schroeder;AMVALI;amvali;amvali;29;4217402;Schroeder
AMFRI;Balneário Camboriú;420200;BALNEÁRIO CAMBORIÚ;balneário camboriú;balneario_camboriu;AMFRI;amfri;amfri;30;4202008;Balneario Camboriu
AMFRI;Balneário Piçarras;421280;BALNEÁRIO PIÇARRAS;balneário piçarras;balneario_picarras;AMFRI;amfri;amfri;31;4212809;Balneario Picarras
AMFRI;Bombinhas;420245;BOMBINHAS;bombinhas;bombinhas;AMFRI;amfri;amfri;32;4202453;Bombinhas
AMFRI;Camboriú;420320;CAMBORIÚ;camboriú;camboriu;AMFRI;amfri;amfri;33;4203204;Camboriu
AMFRI;Ilhota;420710;ILHOTA;ilhota;ilhota;AMFRI;amfri;amfri;34;4207106;Ilhota
AMFRI;Itajaí;420820;ITAJAÍ;itajaí;itajai;AMFRI;amfri;amfri;35;4208203;Itajai
AMFRI;Itapema;420830;ITAPEMA;itapema;itapema;AMFRI;amfri;amfri;36;4208302;Itapema
AMFRI;Luiz Alves;421000;LUIZ ALVES;luiz alves;luiz_alves;AMFRI;amfri;amfri;37;4210001;Luiz Alves
AMFRI;Navegantes;421130;NAVEGANTES;navegantes;navegantes;AMFRI;amfri;amfri;38;4211306;Navegantes
AMFRI;Penha;421250;PENHA;penha;penha;AMFRI;amfri;amfri;39;4212502;Penha
AMFRI;Porto Belo;421350;PORTO BELO;porto belo;porto_belo;AMFRI;amfri;amfri;40;4213500;Porto Belo
Granfpolis;Águas Mornas;420060;ÁGUAS MORNAS;águas mornas;aguas_mornas;GRANFPOLIS;granfpolis;granfpolis;41;4200606;Aguas Mornas
Granfpolis;Alfredo Wagner;420070;ALFREDO WAGNER;alfredo wagner;alfredo_wagner;GRANFPOLIS;granfpolis;granfpolis;42;4200705;Alfredo Wagner
Granfpolis;Angelina;420090;ANGELINA;angelina;angelina;GRANFPOLIS;granfpolis;granfpolis;43;4200903;Angelina
Granfpolis;Anitápolis;420110;ANITÁPOLIS;anitápolis;anitapolis;GRANFPOLIS;granfpolis;granfpolis;44;4201109;Anitapolis
