grupo_dcnt,indicador,correlacao_spearman,p_valor,significativo_5pct
Cardiovascular,taxa_mortalidade_100k,0.072,0.2171,False
Cardiovascular,taxa_internacao_100k,0.224,0.0001,True
Cardiovascular,taxa_letalidade_pct,0.139,0.0921,False
Câncer,taxa_mortalidade_100k,0.201,0.0005,True
Câncer,taxa_internacao_100k,0.272,0.0,True
Câncer,taxa_letalidade_pct,0.015,0.8549,False
Diabetes,taxa_mortalidade_100k,0.111,0.0645,False
Diabetes,taxa_internacao_100k,0.2,0.0008,True
Diabetes,taxa_letalidade_pct,0.21,0.011,True
Respiratória crônica,taxa_mortalidade_100k,0.131,0.0303,True
Respiratória crônica,taxa_internacao_100k,0.203,0.0007,True
Respiratória crônica,taxa_letalidade_pct,0.261,0.0014,True
